"","sample_id","site_id","updated_sample_type","fake_kelp_height","year","month","day","sampling_round","lab_round","lab_blistering","water_type","aquarium_salinity","paper_aquarium_day","aquarium_day","position_of_meristem","desmerestia","extraction_kit_brand","lab_or_field_sampled","pcr_cycles","pcr_position","N.conduct","mean.conduct","sd.conduct","N.temp","mean.temp","sd.temp","se.conduct","lci.conduct","uci.conduct","se.temp","lci.temp","uci.temp"
"plate-4-well-2E_S301","plate-4-well-2E","tb","water",NA,2021,6,24,6,NA,"","tidepool",NA,"",NA,NA,"no","quiagen_plate","field",35,NA,3,19.30666667,0.6389314,3,21.46666667,0.802080628,0.368887216,18.66773527,19.94559807,0.463081466,20.55902699,22.37430634
"plate-1-well-1F_S30","plate-1-well-1F","tb","meristem",NA,2021,6,24,6,NA,"","ocean",NA,"",NA,NA,"no","quiagen_plate","field",35,NA,3,19.48,0.104403065,3,19.46666667,0.152752523,0.060277138,19.37559693,19.58440307,0.08819171,19.29381091,19.63952242
"plate-1-well-9F_S94","plate-1-well-9F","tb","meristem",NA,2021,6,24,6,NA,"","ocean",NA,"",NA,"waves","no","quiagen_plate","field",35,NA,3,19.48,0.104403065,3,19.46666667,0.152752523,0.060277138,19.37559693,19.58440307,0.08819171,19.29381091,19.63952242
"plate-2-well-8G_S183","plate-2-well-8G","tb","meristem",NA,2021,6,24,6,NA,"","ocean",NA,"",NA,"moderate","no","quiagen_plate","field",35,NA,3,19.48,0.104403065,3,19.46666667,0.152752523,0.060277138,19.37559693,19.58440307,0.08819171,19.29381091,19.63952242
"fakekelp-high1-scp-2022-6-27","fakekelp-high1-scp-2022-6-27","scp","fake_kelp","high",2022,6,27,13,6,"","ocean",NA,"",NA,NA,"no","zymo","field",35,"plate4-B7",3,19.50666667,0.37554405,3,15.66666667,0.057735027,0.216820458,19.13112262,19.88221072,0.033333333,15.60133333,15.732
"meristem1-scp-2022-6-27","meristem1-scp-2022-6-27","scp","meristem",NA,2022,6,27,13,6,"","ocean",NA,"",NA,"submerged","no","zymo","field",35,"plate3E2",3,19.50666667,0.37554405,3,15.66666667,0.057735027,0.216820458,19.13112262,19.88221072,0.033333333,15.60133333,15.732
"meristem2-scp-2022-6-27","meristem2-scp-2022-6-27","scp","meristem",NA,2022,6,27,13,6,"","ocean",NA,"",NA,"submerged","no","zymo","field",25,"plate3E6",3,19.50666667,0.37554405,3,15.66666667,0.057735027,0.216820458,19.13112262,19.88221072,0.033333333,15.60133333,15.732
"meristem3-scp-2022-6-27","meristem3-scp-2022-6-27","scp","meristem",NA,2022,6,27,13,6,"","ocean",NA,"",NA,"submerged","no","zymo","field",25,"plate3C11",3,19.50666667,0.37554405,3,15.66666667,0.057735027,0.216820458,19.13112262,19.88221072,0.033333333,15.60133333,15.732
"meristem4-scp-2022-6-27","meristem4-scp-2022-6-27","scp","meristem",NA,2022,6,27,13,6,"","ocean",NA,"",NA,"submerged","no","zymo","field",35,"plate4-D10",3,19.50666667,0.37554405,3,15.66666667,0.057735027,0.216820458,19.13112262,19.88221072,0.033333333,15.60133333,15.732
"meristem5-scp-2022-6-27","meristem5-scp-2022-6-27","scp","meristem",NA,2022,6,27,13,6,"","ocean",NA,"",NA,"submerged","no","zymo","field",25,"plate3B7",3,19.50666667,0.37554405,3,15.66666667,0.057735027,0.216820458,19.13112262,19.88221072,0.033333333,15.60133333,15.732
"meristem6-scp-2022-6-27","meristem6-scp-2022-6-27","scp","meristem",NA,2022,6,27,13,6,"","ocean",NA,"",NA,"submerged","no","zymo","field",25,"plate4-G7",3,19.50666667,0.37554405,3,15.66666667,0.057735027,0.216820458,19.13112262,19.88221072,0.033333333,15.60133333,15.732
"rock2-scp-2022-6-27","rock2-scp-2022-6-27","scp","rock",NA,2022,6,27,13,6,"","ocean",NA,"",NA,NA,"no","zymo","field",25,"plate3A4",3,19.50666667,0.37554405,3,15.66666667,0.057735027,0.216820458,19.13112262,19.88221072,0.033333333,15.60133333,15.732
"rock3-scp-2022-6-27","rock3-scp-2022-6-27","scp","rock",NA,2022,6,27,13,6,"","ocean",NA,"",NA,NA,"no","zymo","field",25,"plate3C4",3,19.50666667,0.37554405,3,15.66666667,0.057735027,0.216820458,19.13112262,19.88221072,0.033333333,15.60133333,15.732
"water2-scp-2022-6-27","water2-scp-2022-6-27","scp","water",NA,2022,6,27,13,6,"","ocean",NA,"",NA,NA,"no","zymo","field",25,"plate7-e7",3,19.50666667,0.37554405,3,15.66666667,0.057735027,0.216820458,19.13112262,19.88221072,0.033333333,15.60133333,15.732
"meristem10-tb-2022-7-27","meristem10-tb-2022-7-27","tb","meristem",NA,2022,7,27,15,8,"","tidepool",NA,"",NA,"submerged","no","zymo","field",35,"plate6-A-8",3,19.76333333,0.700309455,3,20.93333333,2.196208855,0.404323853,19.06302388,20.46364279,1.267981773,18.44808906,23.41857761
"meristem11-tb-2022-7-27","meristem11-tb-2022-7-27","tb","meristem",NA,2022,7,27,15,8,"","tidepool",NA,"",NA,"submerged","no","zymo","field",35,"plate6-e7",3,19.76333333,0.700309455,3,20.93333333,2.196208855,0.404323853,19.06302388,20.46364279,1.267981773,18.44808906,23.41857761
"meristem6-tb-2022-7-27","meristem6-tb-2022-7-27","tb","meristem",NA,2022,7,27,15,8,"","tidepool",NA,"",NA,"submerged","no","zymo","field",35,"plate5-F-4",3,19.76333333,0.700309455,3,20.93333333,2.196208855,0.404323853,19.06302388,20.46364279,1.267981773,18.44808906,23.41857761
"meristem7-tb-2022-7-27","meristem7-tb-2022-7-27","tb","meristem",NA,2022,7,27,15,8,"","tidepool",NA,"",NA,"submerged","no","zymo","field",35,"plate5-e7",3,19.76333333,0.700309455,3,20.93333333,2.196208855,0.404323853,19.06302388,20.46364279,1.267981773,18.44808906,23.41857761
"meristem8-tb-2022-7-27","meristem8-tb-2022-7-27","tb","meristem",NA,2022,7,27,15,8,"","tidepool",NA,"",NA,"submerged","no","zymo","field",35,"plate5-E-4",3,19.76333333,0.700309455,3,20.93333333,2.196208855,0.404323853,19.06302388,20.46364279,1.267981773,18.44808906,23.41857761
"meristem9-tb-2022-7-27","meristem9-tb-2022-7-27","tb","meristem",NA,2022,7,27,15,8,"","tidepool",NA,"",NA,"submerged","no","zymo","field",35,"plate6-A-10",3,19.76333333,0.700309455,3,20.93333333,2.196208855,0.404323853,19.06302388,20.46364279,1.267981773,18.44808906,23.41857761
"water1-tb-2022-7-27","water1-tb-2022-7-27","tb","water",NA,2022,7,27,15,8,"","tidepool",NA,"",NA,"submerged","no","zymo","field",25,"plate8-f11",3,19.76333333,0.700309455,3,20.93333333,2.196208855,0.404323853,19.06302388,20.46364279,1.267981773,18.44808906,23.41857761
"plate-1-well-10B_S2","plate-1-well-10B","scp","water",NA,2021,5,27,4,NA,"","ocean",NA,"",NA,NA,"no","quiagen_plate","field",35,NA,3,20.13333333,0.587054796,3,12.6,0.1,0.338936244,19.54627854,20.72038813,0.057735027,12.48683935,12.71316065
"plate-1-well-2B_S34","plate-1-well-2B","scp","meristem",NA,2021,5,27,4,NA,"","ocean",NA,"",NA,"dry","no","quiagen_plate","field",35,NA,3,20.13333333,0.587054796,3,12.6,0.1,0.338936244,19.54627854,20.72038813,0.057735027,12.48683935,12.71316065
"plate-1-well-4B_S50","plate-1-well-4B","scp","meristem",NA,2021,5,27,4,NA,"","ocean",NA,"",NA,"dry","no","quiagen_plate","field",35,NA,3,20.13333333,0.587054796,3,12.6,0.1,0.338936244,19.54627854,20.72038813,0.057735027,12.48683935,12.71316065
"plate-2-well-11F_S110","plate-2-well-11F","scp","meristem",NA,2021,5,27,4,NA,"","ocean",NA,"",NA,"waves","no","quiagen_plate","field",35,NA,3,20.13333333,0.587054796,3,12.6,0.1,0.338936244,19.54627854,20.72038813,0.057735027,12.48683935,12.71316065
"plate-2-well-11H_S112","plate-2-well-11H","scp","rock",NA,2021,5,27,4,NA,"","ocean",NA,"",NA,NA,"no","quiagen_plate","field",35,NA,3,20.13333333,0.587054796,3,12.6,0.1,0.338936244,19.54627854,20.72038813,0.057735027,12.48683935,12.71316065
"plate-2-well-2E_S133","plate-2-well-2E","scp","meristem",NA,2021,5,27,4,NA,"","ocean",NA,"",NA,"waves","no","quiagen_plate","field",35,NA,3,20.13333333,0.587054796,3,12.6,0.1,0.338936244,19.54627854,20.72038813,0.057735027,12.48683935,12.71316065
"plate-2-well-3B_S138","plate-2-well-3B","scp","rock",NA,2021,5,27,4,NA,"","ocean",NA,"",NA,NA,"no","quiagen_plate","field",35,NA,3,20.13333333,0.587054796,3,12.6,0.1,0.338936244,19.54627854,20.72038813,0.057735027,12.48683935,12.71316065
"plate-2-well-3C_S139","plate-2-well-3C","scp","rock",NA,2021,5,27,4,NA,"","ocean",NA,"",NA,NA,"no","quiagen_plate","field",35,NA,3,20.13333333,0.587054796,3,12.6,0.1,0.338936244,19.54627854,20.72038813,0.057735027,12.48683935,12.71316065
"plate-2-well-4B_S146","plate-2-well-4B","scp","meristem",NA,2021,5,27,4,NA,"","ocean",NA,"",NA,"dry","no","quiagen_plate","field",35,NA,3,20.13333333,0.587054796,3,12.6,0.1,0.338936244,19.54627854,20.72038813,0.057735027,12.48683935,12.71316065
"plate-3-well-1D_S220","plate-3-well-1D","scp","water",NA,2021,5,27,4,NA,"","ocean",NA,"",NA,NA,"no","quiagen_plate","field",35,NA,3,20.13333333,0.587054796,3,12.6,0.1,0.338936244,19.54627854,20.72038813,0.057735027,12.48683935,12.71316065
"plate-3-well-4H_S248","plate-3-well-4H","scp","meristem",NA,2021,5,27,4,NA,"","ocean",NA,"",NA,"waves","no","quiagen_plate","field",35,NA,3,20.13333333,0.587054796,3,12.6,0.1,0.338936244,19.54627854,20.72038813,0.057735027,12.48683935,12.71316065
"plate-1-well-12F_S22","plate-1-well-12F","lhp","rock",NA,2021,5,13,3,NA,"","ocean",NA,"",NA,NA,"no","quiagen_plate","field",35,NA,3,20.49333333,0.355715242,3,14.33333333,0.057735027,0.205372291,20.13761809,20.84904858,0.033333333,14.268,14.39866667
"plate-1-well-3A_S41","plate-1-well-3A","lhp","rock",NA,2021,5,13,3,NA,"","ocean",NA,"",NA,"waves","no","quiagen_plate","field",35,NA,3,20.49333333,0.355715242,3,14.33333333,0.057735027,0.205372291,20.13761809,20.84904858,0.033333333,14.268,14.39866667
"plate-1-well-4F_S54","plate-1-well-4F","lhp","water",NA,2021,5,13,3,NA,"","ocean",NA,"",NA,NA,"no","quiagen_plate","field",35,NA,3,20.49333333,0.355715242,3,14.33333333,0.057735027,0.205372291,20.13761809,20.84904858,0.033333333,14.268,14.39866667
"plate-2-well-1E_S125","plate-2-well-1E","lhp","rock",NA,2021,5,13,3,NA,"","ocean",NA,"",NA,NA,"no","quiagen_plate","field",35,NA,3,20.49333333,0.355715242,3,14.33333333,0.057735027,0.205372291,20.13761809,20.84904858,0.033333333,14.268,14.39866667
"plate-2-well-3D_S140","plate-2-well-3D","lhp","water",NA,2021,5,13,3,NA,"","ocean",NA,"",NA,"waves","no","quiagen_plate","field",35,NA,3,20.49333333,0.355715242,3,14.33333333,0.057735027,0.205372291,20.13761809,20.84904858,0.033333333,14.268,14.39866667
"plate-2-well-8F_S182","plate-2-well-8F","lhp","meristem",NA,2021,5,13,3,NA,"","ocean",NA,"",NA,NA,"no","quiagen_plate","field",35,NA,3,20.49333333,0.355715242,3,14.33333333,0.057735027,0.205372291,20.13761809,20.84904858,0.033333333,14.268,14.39866667
"plate-3-well-4G_S247","plate-3-well-4G","lhp","water",NA,2021,5,13,3,NA,"","ocean",NA,"",NA,NA,"no","quiagen_plate","field",35,NA,3,20.49333333,0.355715242,3,14.33333333,0.057735027,0.205372291,20.13761809,20.84904858,0.033333333,14.268,14.39866667
"plate-3-well-5E_S253","plate-3-well-5E","lhp","meristem",NA,2021,5,13,3,NA,"","ocean",NA,"",NA,"waves","no","quiagen_plate","field",35,NA,3,20.49333333,0.355715242,3,14.33333333,0.057735027,0.205372291,20.13761809,20.84904858,0.033333333,14.268,14.39866667
"fakekelp-high1-tb-2022-7-27","fakekelp-high1-tb-2022-7-27","tb","fake_kelp","high",2022,7,27,15,8,"","ocean",NA,"",NA,NA,"no",NA,"field",25,"plate5-f1",3,20.72333333,0.579511288,3,18.3,0.346410162,0.334580998,20.14382204,21.30284462,0.2,17.908,18.692
"meristem3-tb-2022-7-27","meristem3-tb-2022-7-27","tb","meristem",NA,2022,7,27,15,8,"","ocean",NA,"",NA,"submerged","no",NA,"field",35,"plate6-F-4",3,20.72333333,0.579511288,3,18.3,0.346410162,0.334580998,20.14382204,21.30284462,0.2,17.908,18.692
"meristem5-tb-2022-7-27","meristem5-tb-2022-7-27","tb","meristem",NA,2022,7,27,15,8,"","ocean",NA,"",NA,"submerged","no","zymo","field",35,"plate6-A-2",3,20.72333333,0.579511288,3,18.3,0.346410162,0.334580998,20.14382204,21.30284462,0.2,17.908,18.692
"rock2-tb-2022-7-27","rock2-tb-2022-7-27","tb","rock",NA,2022,7,27,15,8,"","ocean",NA,"",NA,NA,"no","zymo","field",35,"plate6-e8",3,20.72333333,0.579511288,3,18.3,0.346410162,0.334580998,20.14382204,21.30284462,0.2,17.908,18.692
"water2-tb-2022-7-27","water2-tb-2022-7-27","tb","water",NA,2022,7,27,15,8,"","ocean",NA,"",NA,NA,"no","zymo","field",25,"plate8-B12",3,20.72333333,0.579511288,3,18.3,0.346410162,0.334580998,20.14382204,21.30284462,0.2,17.908,18.692
"fakekelp-high1-cp-2022-5-16","fakekelp-high1-cp-2022-5-16","cp","fake_kelp","high",2022,5,16,10,3,"","ocean",NA,"",NA,NA,"no","zymo","field",35,"plate1-A11",3,21.13,0.150996689,3,10.9,0.264575131,0.087177979,20.97900331,21.28099669,0.152752523,10.60060505,11.19939495
"meristem1-cp-2022-5-16","meristem1-cp-2022-5-16","cp","meristem",NA,2022,5,16,10,3,"","ocean",NA,"",NA,"submerged","no","quiagen_plate","field",25,"plate1-B3",3,21.13,0.150996689,3,10.9,0.264575131,0.087177979,20.97900331,21.28099669,0.152752523,10.60060505,11.19939495
"meristem2-cp-2022-5-16","meristem2-cp-2022-5-16","cp","meristem",NA,2022,5,16,10,3,"","ocean",NA,"",NA,"submerged","no","quiagen_plate","field",25,"plate1-E1",3,21.13,0.150996689,3,10.9,0.264575131,0.087177979,20.97900331,21.28099669,0.152752523,10.60060505,11.19939495
"meristem3-cp-2022-5-16","meristem3-cp-2022-5-16","cp","meristem",NA,2022,5,16,10,3,"","ocean",NA,"",NA,"submerged","no","quiagen_plate","field",35,"plate1-G4",3,21.13,0.150996689,3,10.9,0.264575131,0.087177979,20.97900331,21.28099669,0.152752523,10.60060505,11.19939495
"meristem5-cp-2022-5-16","meristem5-cp-2022-5-16","cp","meristem",NA,2022,5,16,10,3,"","ocean",NA,"",NA,"submerged","no","quiagen_plate","field",35,"plate2-B5",3,21.13,0.150996689,3,10.9,0.264575131,0.087177979,20.97900331,21.28099669,0.152752523,10.60060505,11.19939495
"meristem6-cp-2022-5-16","meristem6-cp-2022-5-16","cp","meristem",NA,2022,5,16,10,3,"","ocean",NA,"",NA,"submerged","no","quiagen_plate","field",35,"plate2-C3",3,21.13,0.150996689,3,10.9,0.264575131,0.087177979,20.97900331,21.28099669,0.152752523,10.60060505,11.19939495
"rock1-cp-2022-5-16","rock1-cp-2022-5-16","cp","rock",NA,2022,5,16,10,3,"","ocean",NA,"",NA,NA,"no","zymo","field",25,"plate4-A10",3,21.13,0.150996689,3,10.9,0.264575131,0.087177979,20.97900331,21.28099669,0.152752523,10.60060505,11.19939495
"rock2-cp-2022-5-16","rock2-cp-2022-5-16","cp","rock",NA,2022,5,16,10,3,"","ocean",NA,"",NA,NA,"no","zymo","field",35,"plate4-F9",3,21.13,0.150996689,3,10.9,0.264575131,0.087177979,20.97900331,21.28099669,0.152752523,10.60060505,11.19939495
"water1-cp-2022-5-16","water1-cp-2022-5-16","cp","water",NA,2022,5,16,10,3,"","ocean",NA,"",NA,NA,"no","zymo","field",25,"plate3A10",3,21.13,0.150996689,3,10.9,0.264575131,0.087177979,20.97900331,21.28099669,0.152752523,10.60060505,11.19939495
"water2-cp-2022-5-16","water2-cp-2022-5-16","cp","meristem",NA,2022,5,16,10,3,"","ocean",NA,"",NA,"submerged","no","zymo","field",35,"plate3F10",3,21.13,0.150996689,3,10.9,0.264575131,0.087177979,20.97900331,21.28099669,0.152752523,10.60060505,11.19939495
"fakekelp-high1-tb-2022-5-17","fakekelp-high1-tb-2022-5-17","tb","fake_kelp","high",2022,5,17,10,3,"","ocean",NA,"",NA,NA,"no","zymo","field",35,"plate1-A6",3,21.18,0.45033321,3,12.63333333,0.577350269,0.26,20.72966679,21.63033321,0.333333333,11.98,13.28666667
"meristem1-tb-2022-5-17","meristem1-tb-2022-5-17","tb","meristem",NA,2022,5,17,10,3,"","ocean",NA,"",NA,"submerged","no","quiagen_plate","field",30,"plate1-A2",3,21.18,0.45033321,3,12.63333333,0.577350269,0.26,20.72966679,21.63033321,0.333333333,11.98,13.28666667
"meristem2-tb-2022-5-17","meristem2-tb-2022-5-17","tb","meristem",NA,2022,5,17,10,3,"","ocean",NA,"",NA,"submerged","no","quiagen_plate","field",35,"plate1-D10",3,21.18,0.45033321,3,12.63333333,0.577350269,0.26,20.72966679,21.63033321,0.333333333,11.98,13.28666667
"meristem5-tb-2022-5-17","meristem5-tb-2022-5-17","tb","meristem",NA,2022,5,17,10,3,"","ocean",NA,"",NA,"submerged","no","quiagen_plate","field",35,"plate2-G-10",3,21.18,0.45033321,3,12.63333333,0.577350269,0.26,20.72966679,21.63033321,0.333333333,11.98,13.28666667
"rock1-tb-2022-5-17","rock1-tb-2022-5-17","tb","rock",NA,2022,5,17,10,3,"","ocean",NA,"",NA,NA,"no","zymo","field",35,"plate3G7",3,21.18,0.45033321,3,12.63333333,0.577350269,0.26,20.72966679,21.63033321,0.333333333,11.98,13.28666667
"rock2-tb-2022-5-17","rock2-tb-2022-5-17","tb","rock",NA,2022,5,17,10,3,"","ocean",NA,"",NA,NA,"no","zymo","field",25,"plate4-G9",3,21.18,0.45033321,3,12.63333333,0.577350269,0.26,20.72966679,21.63033321,0.333333333,11.98,13.28666667
"water1-tb-2022-5-17","water1-tb-2022-5-17","tb","water",NA,2022,5,17,10,3,"","ocean",NA,"",NA,NA,"no","zymo","field",25,"plate4-A8",3,21.18,0.45033321,3,12.63333333,0.577350269,0.26,20.72966679,21.63033321,0.333333333,11.98,13.28666667
"plate-2-well-6E_S165","plate-2-well-6E","lhp","rock",NA,2021,5,13,3,NA,"","tidepool",NA,"",NA,NA,"no","quiagen_plate","field",35,NA,3,21.37333333,0.768136273,3,16.33333333,0.945163125,0.443483684,20.60519706,22.14146961,0.545690185,15.26378057,17.4028861
"plate-2-well-8A_S177","plate-2-well-8A","lhp","meristem",NA,2021,5,13,3,NA,"","tidepool",NA,"",NA,"submerged","no","quiagen_plate","field",35,NA,3,21.37333333,0.768136273,3,16.33333333,0.945163125,0.443483684,20.60519706,22.14146961,0.545690185,15.26378057,17.4028861
"meristem10-tb-2022-5-17","meristem10-tb-2022-5-17","tb","meristem",NA,2022,5,17,10,3,"","tidepool",NA,"",NA,"submerged","no","quiagen_plate","field",35,"plate2-F4",3,21.43333333,0.214553801,3,14.7,0.435889894,0.123872695,21.21877953,21.64788713,0.251661148,14.20674415,15.19325585
"meristem11-tb-2022-5-17","meristem11-tb-2022-5-17","tb","meristem",NA,2022,5,17,10,3,"","tidepool",NA,"",NA,"submerged","no","quiagen_plate","field",25,"plate2-G2",3,21.43333333,0.214553801,3,14.7,0.435889894,0.123872695,21.21877953,21.64788713,0.251661148,14.20674415,15.19325585
"meristem12-tb-2022-5-17","meristem12-tb-2022-5-17","tb","meristem",NA,2022,5,17,10,3,"","tidepool",NA,"",NA,"submerged","no","quiagen_plate","field",25,"plate2-G5",3,21.43333333,0.214553801,3,14.7,0.435889894,0.123872695,21.21877953,21.64788713,0.251661148,14.20674415,15.19325585
"meristem7-tb-2022-5-17","meristem7-tb-2022-5-17","tb","meristem",NA,2022,5,17,10,3,"","tidepool",NA,"",NA,"submerged","no","quiagen_plate","field",35,"plate2-D9",3,21.43333333,0.214553801,3,14.7,0.435889894,0.123872695,21.21877953,21.64788713,0.251661148,14.20674415,15.19325585
"meristem8-tb-2022-5-17","meristem8-tb-2022-5-17","tb","meristem",NA,2022,5,17,10,3,"","tidepool",NA,"",NA,"submerged","no","quiagen_plate","field",25,"plate2-E2",3,21.43333333,0.214553801,3,14.7,0.435889894,0.123872695,21.21877953,21.64788713,0.251661148,14.20674415,15.19325585
"meristem9-tb-2022-5-17","meristem9-tb-2022-5-17","tb","meristem",NA,2022,5,17,10,3,"","tidepool",NA,"",NA,"submerged","no","quiagen_plate","field",35,"plate2-E5",3,21.43333333,0.214553801,3,14.7,0.435889894,0.123872695,21.21877953,21.64788713,0.251661148,14.20674415,15.19325585
"water2-tb-2022-5-17","water2-tb-2022-5-17","tb","water",NA,2022,5,17,10,3,"","tidepool",NA,"",NA,"submerged","no","zymo","field",25,"plate3B3",3,21.43333333,0.214553801,3,14.7,0.435889894,0.123872695,21.21877953,21.64788713,0.251661148,14.20674415,15.19325585
"fakekelp-low1-cp-2022-6-13","fakekelp-low1-cp-2022-6-13","cp","rock","low",2022,6,13,12,5,"","ocean",NA,"",NA,NA,"no","quiagen_plate","field",25,"plate1-C9",3,22,0,3,NA,NA,0,22,22,NA,NA,NA
"meristem1-cp-2022-6-13","meristem1-cp-2022-6-13","cp","meristem",NA,2022,6,13,12,5,"","ocean",NA,"",NA,"submerged","no","quiagen_plate","field",35,"plate1-C7",3,22,0,3,NA,NA,0,22,22,NA,NA,NA
"meristem2-cp-2022-6-13","meristem2-cp-2022-6-13","cp","meristem",NA,2022,6,13,12,5,"","ocean",NA,"",NA,"submerged","no","quiagen_plate","field",25,"plate1-E10",3,22,0,3,NA,NA,0,22,22,NA,NA,NA
"meristem4-cp-2022-6-13","meristem4-cp-2022-6-13","cp","meristem",NA,2022,6,13,12,5,"","ocean",NA,"",NA,"submerged","no","quiagen_plate","field",35,"plate1-H6",3,22,0,3,NA,NA,0,22,22,NA,NA,NA
"meristem5-cp-2022-6-13","meristem5-cp-2022-6-13","cp","meristem",NA,2022,6,13,12,5,"","ocean",NA,"",NA,"submerged","no","quiagen_plate","field",35,"plate2-A11",3,22,0,3,NA,NA,0,22,22,NA,NA,NA
"meristem6-cp-2022-6-13","meristem6-cp-2022-6-13","cp","meristem",NA,2022,6,13,12,5,"","ocean",NA,"",NA,"submerged","no","quiagen_plate","field",35,"plate2-B7",3,22,0,3,NA,NA,0,22,22,NA,NA,NA
"rock1-cp-2022-6-13","rock1-cp-2022-6-13","cp","rock",NA,2022,6,13,12,5,"","ocean",NA,"",NA,NA,"no","zymo","field",35,"plate4-A2",3,22,0,3,NA,NA,0,22,22,NA,NA,NA
"rock2-cp-2022-6-13","rock2-cp-2022-6-13","cp","rock",NA,2022,6,13,12,5,"","ocean",NA,"",NA,NA,"no","zymo","field",35,"plate4-F12",3,22,0,3,NA,NA,0,22,22,NA,NA,NA
"water1-cp-2022-6-13","water1-cp-2022-6-13","cp","water",NA,2022,6,13,12,5,"","ocean",NA,"",NA,NA,"no","zymo","field",25,"plate4-C3",3,22,0,3,NA,NA,0,22,22,NA,NA,NA
"water2-cp-2022-6-13","water2-cp-2022-6-13","cp","water",NA,2022,6,13,12,5,"","ocean",NA,"",NA,NA,"no","zymo","field",25,"plate4-H9",3,22,0,3,NA,NA,0,22,22,NA,NA,NA
"fakekelp-high1-scp-2022-5-16","fakekelp-high1-scp-2022-5-16","scp","fake_kelp","high",2022,5,16,10,3,"","ocean",NA,"",NA,NA,"no","zymo","field",35,"plate1-C12",3,22.23,0.49689033,3,10.96666667,0.251661148,0.286879766,21.73310967,22.72689033,0.145296631,10.68188527,11.25144806
"meristem2-scp-2022-5-16","meristem2-scp-2022-5-16","scp","meristem",NA,2022,5,16,10,3,"","ocean",NA,"",NA,"submerged","no","quiagen_plate","field",35,"plate1-E8",3,22.23,0.49689033,3,10.96666667,0.251661148,0.286879766,21.73310967,22.72689033,0.145296631,10.68188527,11.25144806
"meristem3-scp-2022-5-16","meristem3-scp-2022-5-16","scp","meristem",NA,2022,5,16,10,3,"","ocean",NA,"",NA,"submerged","no","quiagen_plate","field",35,"plate1-F12",3,22.23,0.49689033,3,10.96666667,0.251661148,0.286879766,21.73310967,22.72689033,0.145296631,10.68188527,11.25144806
"meristem4-scp-2022-5-16","meristem4-scp-2022-5-16","scp","meristem",NA,2022,5,16,10,3,"","ocean",NA,"",NA,"submerged","no","quiagen_plate","field",35,"plate1-G10",3,22.23,0.49689033,3,10.96666667,0.251661148,0.286879766,21.73310967,22.72689033,0.145296631,10.68188527,11.25144806
"meristem5-scp-2022-5-16","meristem5-scp-2022-5-16","scp","meristem",NA,2022,5,16,10,3,"","ocean",NA,"",NA,"submerged","no","quiagen_plate","field",35,"plate2-A7",3,22.23,0.49689033,3,10.96666667,0.251661148,0.286879766,21.73310967,22.72689033,0.145296631,10.68188527,11.25144806
"meristem6-scp-2022-5-16","meristem6-scp-2022-5-16","scp","meristem",NA,2022,5,16,10,3,"","ocean",NA,"",NA,"submerged","no","quiagen_plate","field",35,"plate2-B12",3,22.23,0.49689033,3,10.96666667,0.251661148,0.286879766,21.73310967,22.72689033,0.145296631,10.68188527,11.25144806
"rock2-scp-2022-5-16","rock2-scp-2022-5-16","scp","meristem",NA,2022,5,16,10,3,"","ocean",NA,"",NA,"submerged","no","zymo","field",25,"plate3A3",3,22.23,0.49689033,3,10.96666667,0.251661148,0.286879766,21.73310967,22.72689033,0.145296631,10.68188527,11.25144806
"water1-scp-2022-5-16","water1-scp-2022-5-16","scp","water",NA,2022,5,16,10,3,"","ocean",NA,"",NA,NA,"no","zymo","field",25,"plate4-C10",3,22.23,0.49689033,3,10.96666667,0.251661148,0.286879766,21.73310967,22.72689033,0.145296631,10.68188527,11.25144806
"water2-scp-2022-5-16","water2-scp-2022-5-16","scp","water",NA,2022,5,16,10,3,"","ocean",NA,"",NA,NA,"no","zymo","field",25,"plate3A5",3,22.23,0.49689033,3,10.96666667,0.251661148,0.286879766,21.73310967,22.72689033,0.145296631,10.68188527,11.25144806
"meristem1-cp-2022-5-30","meristem1-cp-2022-5-30","cp","meristem",NA,2022,5,30,11,4,"","ocean",NA,"",NA,"submerged","no","quiagen_plate","field",25,"plate1-A9",3,22.43333333,0.030550505,3,12.3,0.2,0.017638342,22.40278283,22.46388384,0.115470054,12.07367869,12.52632131
"meristem2-cp-2022-5-30","meristem2-cp-2022-5-30","cp","meristem",NA,2022,5,30,11,4,"","ocean",NA,"",NA,"submerged","no","quiagen_plate","field",35,"plate1-D11",3,22.43333333,0.030550505,3,12.3,0.2,0.017638342,22.40278283,22.46388384,0.115470054,12.07367869,12.52632131
"meristem4-cp-2022-5-30","meristem4-cp-2022-5-30","cp","meristem",NA,2022,5,30,11,4,"","ocean",NA,"",NA,"submerged","no","quiagen_plate","field",35,"plate1-G11",3,22.43333333,0.030550505,3,12.3,0.2,0.017638342,22.40278283,22.46388384,0.115470054,12.07367869,12.52632131
"meristem5-cp-2022-5-30","meristem5-cp-2022-5-30","cp","meristem",NA,2022,5,30,11,4,"","ocean",NA,"",NA,"submerged","no","quiagen_plate","field",35,"plate2-B4",3,22.43333333,0.030550505,3,12.3,0.2,0.017638342,22.40278283,22.46388384,0.115470054,12.07367869,12.52632131
"meristem6-cp-2022-5-30","meristem6-cp-2022-5-30","cp","meristem",NA,2022,5,30,11,4,"","ocean",NA,"",NA,"submerged","no","quiagen_plate","field",35,"plate2-C7",3,22.43333333,0.030550505,3,12.3,0.2,0.017638342,22.40278283,22.46388384,0.115470054,12.07367869,12.52632131
